"movie_id","title","content_type","genre_primary","genre_secondary","release_year","duration_minutes","rating","language","country_of_origin","imdb_rating","production_budget","box_office_revenue","number_of_seasons","number_of_episodes","is_netflix_original","added_to_platform","content_warning","budget_missing","revenue_missing"
"movie_0001","dragon legend","Stand-up Comedy","History","Thriller",2014,35,"TV-Y","French","Japan",0.5,0,0,1,12,FALSE,2023-08-07,FALSE,1,1
"movie_0002","storm warrior","Stand-up Comedy","Sci-Fi","",2017,37,"PG","Japanese","USA",3.3,0,0,1,12,FALSE,2022-01-28,TRUE,1,1
"movie_0003","fire family","Movie","Drama","",2003,142,"TV-MA","English","USA",8.5,2114120,0,0,0,FALSE,2021-05-04,TRUE,0,0
"movie_0004","our princess","Documentary","Sci-Fi","",2011,131,"NC-17","Japanese","USA",5.3,0,0,1,12,FALSE,2022-11-26,FALSE,1,1
"movie_0005","warrior mission","Documentary","Sport","Mystery",2015,91,"TV-G","English","USA",3.1,0,0,1,12,FALSE,2023-06-15,FALSE,1,1
"movie_0006","kingdom phoenix","Movie","Documentary","Music",1997,113,"PG-13","English","USA",8,4214426,792291,0,0,FALSE,2021-01-21,FALSE,0,0
"movie_0007","battle story","TV Series","Sci-Fi","",2003,52,"TV-Y7","English","USA",6.5,0,0,1,158,FALSE,2021-11-30,FALSE,1,1
"movie_0008","old house","Movie","Horror","",1991,109,"TV-Y","Spanish","South Korea",7.7,629216,3995303,0,0,FALSE,2020-10-04,FALSE,0,0
"movie_0009","dragon empire","Movie","Biography","",2013,123,"PG","Spanish","USA",8.4,0,0,0,0,FALSE,2024-05-09,FALSE,1,1
"movie_0010","dream war","Limited Series","Thriller","Animation",2019,49,"TV-Y","Italian","Japan",8.2,0,0,12,32,FALSE,2021-09-20,FALSE,1,1
"movie_0011","day dream","Movie","Western","",2022,148,"R","English","USA",0.5,16018207,0,0,0,TRUE,2025-06-02,FALSE,0,0
"movie_0012","bright war","Movie","Crime","Sci-Fi",1997,95,"G","English","South Korea",9.9,0,72997481,0,0,FALSE,2025-05-22,FALSE,1,1
"movie_0013","dream journey","Movie","Romance","",2013,138,"PG","English","Germany",8.6,1758821,3573506,0,0,FALSE,2021-01-20,TRUE,0,0
"movie_0014","little war","Movie","Mystery","",1990,117,"TV-14","Korean","Japan",8.4,0,32793336,0,0,TRUE,2020-10-01,FALSE,1,1
"movie_0015","hero empire","Movie","Sci-Fi","Mystery",2012,108,"TV-G","English","UK",4.6,2006408,0,0,0,FALSE,2022-09-18,FALSE,0,0
"movie_0016","last dream","TV Series","Family","",1999,54,"PG-13","Spanish","USA",6,0,0,1,139,FALSE,2022-01-19,FALSE,1,1
"movie_0017","kingdom battle","Stand-up Comedy","War","",2018,72,"NC-17","Italian","UK",5.9,0,0,1,12,TRUE,2021-10-13,FALSE,1,1
"movie_0018","princess phoenix","Movie","Adventure","",2011,116,"PG","English","France",7.6,10555440,7278095,0,0,TRUE,2021-04-04,FALSE,0,0
"movie_0019","an legend","Limited Series","Sci-Fi","Crime",2004,48,"TV-PG","English","UK",9.3,0,0,1,155,FALSE,2022-05-12,FALSE,1,1
"movie_0020","an mystery","TV Series","Fantasy","",2009,41,"PG-13","English","Canada",7.1,0,0,14,168,FALSE,2022-08-21,FALSE,1,1
"movie_0021","family love","Limited Series","Family","Thriller",2020,52,"TV-PG","English","USA",8.5,0,0,5,106,FALSE,2023-07-25,FALSE,1,1
"movie_0022","first mystery","Movie","Sci-Fi","",1998,115,"TV-PG","English","South Korea",6.6,2934549,40080746,0,0,TRUE,2022-09-12,FALSE,0,0
"movie_0023","mystery night","TV Series","Adventure","",2020,60,"TV-MA","English","USA",4.8,0,0,6,196.96,TRUE,2024-10-18,FALSE,1,1
"movie_0024","fire mystery","Movie","Biography","",1990,114,"TV-Y7","English","South Korea",4.4,895311,52104449,0,0,FALSE,2023-04-04,FALSE,0,0
"movie_0025","quest queen","Movie","Family","",2013,127,"PG","English","UK",9.2,0,1286089,0,0,FALSE,2024-12-21,FALSE,1,1
"movie_0026","last love","TV Series","Comedy","",2000,78,"PG","English","India",8.6,0,0,10,121,FALSE,2025-02-23,FALSE,1,1
"movie_0027","house house","Stand-up Comedy","Western","",2012,60,"PG-13","English","South Korea",7,0,0,1,12,TRUE,2021-09-19,FALSE,1,1
"movie_0028","legend hero","Stand-up Comedy","Biography","Romance",2003,417,"PG","French","USA",7.8,0,0,1,12,FALSE,2024-01-07,FALSE,1,1
"movie_0029","dark princess","Movie","Horror","Sport",1998,117,"PG","English","Japan",5.4,0,6128075,0,0,FALSE,2022-04-16,FALSE,1,1
"movie_0030","dragon king","Movie","Documentary","",2017,151,"G","English","India",7.5,0,9373734,0,0,FALSE,2024-06-10,TRUE,1,1
"movie_0031","warrior war","Movie","Romance","",2024,129,"TV-Y7","English","USA",4.7,0,2057069,0,0,FALSE,2022-06-10,FALSE,1,1
"movie_0032","house hero","TV Series","Crime","",2000,31,"TV-Y7","German","UK",0.5,0,0,3,24,FALSE,2024-02-13,FALSE,1,1
"movie_0033","mystery city","Movie","Horror","",1995,116,"TV-MA","Korean","USA",7.3,0,0,0,0,FALSE,2022-06-24,FALSE,1,1
"movie_0034","mission kingdom","TV Series","War","Horror",2018,48,"TV-PG","English","India",7.7,0,0,14,138,TRUE,2023-10-22,TRUE,1,1
"movie_0035","princess love","TV Series","Family","Romance",1994,38,"TV-PG","English","USA",7.4,0,0,1,62,FALSE,2021-03-01,FALSE,1,1
"movie_0036","house legend","TV Series","Adventure","Action",2018,61,"PG-13","Spanish","Germany",6.5,0,0,10,57,FALSE,2025-04-18,FALSE,1,1
"movie_0037","empire king","TV Series","Comedy","",2011,51,"TV-G","French","USA",6.6,0,0,5,23,FALSE,2025-05-02,FALSE,1,1
"movie_0038","a empire","Movie","Action","",1993,98,"TV-MA","Korean","USA",5.6,3127772,99312954.4,0,0,TRUE,2021-06-29,FALSE,0,0
"movie_0039","love queen","Movie","Mystery","",2019,80,"PG-13","German","USA",7.3,5603605,0,0,0,FALSE,2022-01-10,FALSE,0,0
"movie_0040","mystery quest","Movie","War","Music",2005,116,"PG-13","Japanese","UK",6.4,1816487,2016406,0,0,FALSE,2023-02-04,FALSE,0,0
"movie_0041","kingdom war","Documentary","Biography","Sport",2003,83,"TV-14","English","USA",5.1,0,0,1,12,FALSE,2023-03-23,FALSE,1,1
"movie_0042","first hero","Movie","Action","",2020,452,"TV-G","Hindi","India",6.7,2146992,55547817,0,0,TRUE,2024-06-01,FALSE,0,0
