"session_id","user_id","movie_id","watch_date","device_type","watch_duration_minutes","progress_percentage","action","quality","location_country","is_download","user_rating","duration_category"
"session_000001","user_07271","movie_0511",2025-11-13,"Tablet",63.9,34.6,"completed","HD","USA",FALSE,NA,"1-2 hours"
"session_000002","user_00861","movie_0588",2025-02-26,"Laptop",120.1,44.2,"started","HD","USA",FALSE,NA,"2-4 hours"
"session_000003","user_05391","movie_0694",2024-12-15,"Desktop",480,84.7,"started","HD","Canada",FALSE,1,"Other"
"session_000004","user_05192","movie_0234",2024-09-30,"Desktop",395.3,89.9,"completed","SD","USA",FALSE,5,"4-8 hours"
"session_000005","user_05735","movie_0390",2024-08-04,"Tablet",14.6,6.2,"completed","HD","USA",FALSE,NA,"6-30 minutes"
"session_000006","user_06266","movie_0631",2024-03-13,"Desktop",43.4,63.7,"completed","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000007","user_00467","movie_0483",2025-04-23,"Desktop",165.9,63.1,"stopped","HD","Canada",FALSE,NA,"2-4 hours"
"session_000008","user_04427","movie_0139",2025-09-13,"Laptop",100.4,57.4,"paused","4K","USA",FALSE,NA,"1-2 hours"
"session_000009","user_05579","movie_0769",2025-08-26,"Laptop",29,9.8,"paused","4K","USA",FALSE,NA,"6-30 minutes"
"session_000010","user_08323","movie_0577",2025-07-23,"Desktop",32.5,74.1,"stopped","HD","USA",FALSE,NA,"31-60 minutes"
"session_000011","user_01686","movie_0903",2025-05-17,"Smart TV",17.6,62.1,"started","HD","USA",FALSE,NA,"6-30 minutes"
"session_000012","user_00770","movie_0427",2025-08-09,"Desktop",34.7,69.7,"started","HD","USA",FALSE,NA,"31-60 minutes"
"session_000013","user_06950","movie_0764",2024-07-06,"Mobile",3.7,4.6,"stopped","HD","Canada",FALSE,NA,"1-5 minutes"
"session_000014","user_02434","movie_0810",2024-10-27,"Laptop",30.7,71.6,"started","SD","USA",FALSE,NA,"31-60 minutes"
"session_000015","user_05312","movie_0861",2025-10-17,"Tablet",59.9,30.7,"paused","4K","USA",FALSE,5,"31-60 minutes"
"session_000016","user_05052","movie_0418",2024-12-09,"Laptop",31,65.2,"started","HD","USA",TRUE,NA,"31-60 minutes"
"session_000017","user_06421","movie_0135",2025-11-02,"Smart TV",39.3,37.9,"started","4K","Canada",TRUE,NA,"31-60 minutes"
"session_000018","user_01185","movie_0671",2025-12-05,"Smart TV",27.9,92,"started","4K","Canada",TRUE,3,"6-30 minutes"
"session_000019","user_04556","movie_0124",2024-11-08,"Tablet",32.7,72.3,"paused","SD","USA",FALSE,NA,"31-60 minutes"
"session_000020","user_03386","movie_0312",2025-11-05,"Tablet",53,5.5,"paused","HD","USA",FALSE,NA,"31-60 minutes"
"session_000021","user_06397","movie_0129",2025-02-04,"Desktop",33.9,25.9,"started","HD","Canada",FALSE,NA,"31-60 minutes"
"session_000022","user_08667","movie_0357",2025-02-09,"Mobile",378,25.5,"started",NA,"USA",TRUE,NA,"4-8 hours"
"session_000023","user_09275","movie_0154",2024-04-14,"Mobile",118,49.6,"paused","HD","Canada",FALSE,NA,"1-2 hours"
"session_000024","user_02559","movie_0285",2024-11-16,"Laptop",74.6,9.3,"started","HD","USA",FALSE,NA,"1-2 hours"
"session_000025","user_07850","movie_0675",2024-10-30,"Desktop",54.7,54.3,"started","SD","USA",FALSE,NA,"31-60 minutes"
"session_000026","user_02048","movie_0037",2025-11-09,"Mobile",30.1,37.7,"paused","HD","Canada",FALSE,NA,"31-60 minutes"
